Country,InvoiceMonthYear,InvoiceSale
Poland,2011-02,604.05
Poland,2011-03,317.78
Poland,2011-04,705.8399999999999
Poland,2011-05,1522.37
Poland,2011-06,343.65000000000003
Poland,2011-07,687.3
Poland,2011-08,401.8
Poland,2011-09,529.25
Poland,2011-11,1361.23
Portugal,2010-12,2439.9700000000003
Portugal,2011-01,4055.71
Portugal,2011-02,1213.9
Portugal,2011-03,2660.85
Portugal,2011-04,1687.75
Portugal,2011-05,4202.2300000000005
Portugal,2011-06,884.46
Portugal,2011-07,2287.85
Portugal,2011-08,1221.4
Portugal,2011-09,1433.22
Portugal,2011-10,6206.67
Portugal,2011-11,2644.9
Portugal,2011-12,2808.19
RSA,2011-10,1002.3100000000001
Saudi Arabia,2011-02,145.92
Singapore,2011-01,2053.07
Singapore,2011-04,8209.58
Singapore,2011-07,3949.32
Singapore,2011-10,7067.32
Spain,2010-12,1843.73
Spain,2011-01,10086.09
Spain,2011-02,2114.5
Spain,2011-03,5363.15
Spain,2011-04,1785.65
Spain,2011-05,3257.6
Spain,2011-06,3333.21
Spain,2011-07,7624.92
Spain,2011-08,3346.91
Spain,2011-09,5189.24
Spain,2011-10,8636.94
Spain,2011-11,8678.96
Spain,2011-12,316.21
Sweden,2010-12,3834.2999999999997
Sweden,2011-01,3486.32
Sweden,2011-02,509.5
Sweden,2011-03,4720.58
Sweden,2011-04,809.1
Sweden,2011-05,2681.98
Sweden,2011-06,832.0
Sweden,2011-07,6802.09
Sweden,2011-08,1400.8600000000001
Sweden,2011-09,4575.21
Sweden,2011-10,5766.16
Sweden,2011-11,2722.23
Sweden,2011-12,238.0
Switzerland,2010-12,1304.92
Switzerland,2011-01,4231.23
Switzerland,2011-02,2654.92
Switzerland,2011-03,1870.23
Switzerland,2011-04,2076.94
Switzerland,2011-05,3610.0099999999998
Switzerland,2011-06,7904.15
Switzerland,2011-07,3998.61
Switzerland,2011-08,4969.89
Switzerland,2011-09,8284.86
Switzerland,2011-10,8065.18
Switzerland,2011-11,8118.96
USA,2011-04,383.95
USA,2011-10,2311.2
USA,2011-12,885.24
United Arab Emirates,2011-02,889.24
United Arab Emirates,2011-09,1013.04
United Kingdom,2010-12,748268.98
United Kingdom,2011-01,561289.98
United Kingdom,2011-02,430027.95
United Kingdom,2011-03,586230.28
United Kingdom,2011-04,476517.761
United Kingdom,2011-05,639314.36
United Kingdom,2011-06,619510.67
United Kingdom,2011-07,601994.841
United Kingdom,2011-08,608047.48
United Kingdom,2011-09,897076.472
United Kingdom,2011-10,938975.01
United Kingdom,2011-11,1325346.21
United Kingdom,2011-12,592622.09
Unspecified,2011-04,299.1
Unspecified,2011-05,1055.8700000000001
Unspecified,2011-06,185.78
Unspecified,2011-07,1425.41
Unspecified,2011-08,531.03
Unspecified,2011-09,286.85
Unspecified,2011-11,965.75
