,country,year_month,mean_invoice_sale,median_invoice_sale,invoice_count
162,Italy,2011-04,368.91499999999996,368.91499999999996,2
163,Italy,2011-05,587.45,587.45,1
164,Italy,2011-06,101.03500000000001,101.03500000000001,2
165,Italy,2011-07,147.1,147.1,1
166,Italy,2011-08,497.7375,515.725,4
167,Italy,2011-09,279.8,279.8,1
168,Italy,2011-10,498.52714285714285,343.0,7
169,Italy,2011-11,507.8977777777778,248.2,9
170,Italy,2011-12,200.45000000000002,200.45000000000002,1
171,Japan,2010-12,2568.3566666666666,3590.59,3
172,Japan,2011-02,2890.4049999999997,2890.4049999999997,2
173,Japan,2011-03,16.299999999999997,16.05,3
174,Japan,2011-04,3274.25,3274.25,2
175,Japan,2011-05,1351.45,1351.45,1
176,Japan,2011-06,1607.04,1607.04,1
177,Japan,2011-07,1927.2,1927.2,2
178,Japan,2011-09,112.07999999999998,112.07999999999998,1
179,Japan,2011-10,974.0200000000001,974.0200000000001,2
180,Japan,2011-11,4230.04,4230.04,2
181,Lebanon,2011-01,1693.88,1693.88,1
182,Lithuania,2010-12,415.265,250.5,4
183,Malta,2011-06,431.58,431.58,2
184,Malta,2011-08,559.5,559.5,2
185,Malta,2011-11,743.43,743.43,1
186,Netherlands,2010-12,2928.16,192.60000000000002,3
187,Netherlands,2011-01,5322.232,7722.04,5
188,Netherlands,2011-02,4602.382,3211.7,5
189,Netherlands,2011-03,2802.0612499999997,926.3299999999999,8
190,Netherlands,2011-04,992.1866666666666,1129.1999999999998,3
191,Netherlands,2011-05,2653.261818181818,536.4,11
192,Netherlands,2011-06,2441.6445454545456,1113.6000000000001,11
193,Netherlands,2011-07,26.02,26.02,1
194,Netherlands,2011-08,5761.115714285714,998.4000000000001,7
195,Netherlands,2011-09,3848.18,1944.6,7
196,Netherlands,2011-10,2713.9099999999994,788.16,15
197,Netherlands,2011-11,1724.9340000000002,290.0,15
198,Netherlands,2011-12,3909.3399999999997,575.88,3
199,Norway,2010-12,1893.56,1893.56,2
200,Norway,2011-02,315.45,315.45,2
201,Norway,2011-03,316.3275,152.34,4
202,Norway,2011-06,1471.7150000000001,1285.1,4
203,Norway,2011-07,890.0699999999999,890.0699999999999,1
204,Norway,2011-08,1012.905,1012.905,2
205,Norway,2011-09,1446.4899999999998,535.775,6
206,Norway,2011-10,526.7471428571429,256.4,7
207,Norway,2011-11,1305.5,936.64,5
208,Norway,2011-12,928.5666666666667,147.01,3
209,Poland,2010-12,248.16,248.16,1
210,Poland,2011-01,613.22,613.22,1
211,Poland,2011-02,302.025,302.025,2
212,Poland,2011-03,317.78,317.78,1
213,Poland,2011-04,705.8399999999999,705.8399999999999,1
214,Poland,2011-05,507.45666666666665,615.36,3
215,Poland,2011-06,171.82500000000002,171.82500000000002,2
216,Poland,2011-07,343.65,343.65,2
217,Poland,2011-08,200.9,200.9,2
218,Poland,2011-09,264.625,264.625,2
219,Poland,2011-11,680.615,680.615,2
220,Portugal,2010-12,406.6616666666667,282.99,6
221,Portugal,2011-01,1013.9275,685.205,4
222,Portugal,2011-02,606.95,606.95,2
223,Portugal,2011-03,532.17,400.53999999999996,5
224,Portugal,2011-04,843.875,843.875,2
225,Portugal,2011-05,840.4460000000001,602.83,5
226,Portugal,2011-06,294.82,243.2,3
227,Portugal,2011-07,762.6166666666667,835.65,3
228,Portugal,2011-08,1221.4,1221.4,1
229,Portugal,2011-09,477.74,339.02,3
230,Portugal,2011-10,620.667,441.215,10
231,Portugal,2011-11,264.48999999999995,263.78000000000003,10
232,Portugal,2011-12,702.0475,559.505,4
233,RSA,2011-10,1002.3100000000001,1002.3100000000001,1
234,Saudi Arabia,2011-02,145.92,145.92,1
235,Singapore,2011-01,2053.07,2053.07,1
236,Singapore,2011-04,2736.5266666666666,2118.74,3
237,Singapore,2011-07,3949.32,3949.32,1
238,Singapore,2011-10,3533.66,3533.66,2
239,Spain,2010-12,460.9325,397.36,4
240,Spain,2011-01,1260.76125,1142.925,8
241,Spain,2011-02,528.625,531.705,4
242,Spain,2011-03,670.39375,665.4749999999999,8
243,Spain,2011-04,595.2166666666667,436.3,3
244,Spain,2011-05,814.4,914.5450000000001,4
245,Spain,2011-06,416.65125,251.875,8
246,Spain,2011-07,847.2133333333334,312.9,9
247,Spain,2011-08,334.691,155.195,10
248,Spain,2011-09,648.655,610.095,8
249,Spain,2011-10,1079.6175,436.125,8
250,Spain,2011-11,619.9257142857143,400.09000000000003,14
251,Spain,2011-12,158.10500000000002,158.10500000000002,2
252,Sweden,2010-12,1917.1499999999999,1917.1499999999999,2
253,Sweden,2011-01,1743.1599999999999,1743.1599999999999,2
254,Sweden,2011-02,509.5,509.5,1
255,Sweden,2011-03,1573.5266666666664,197.9,3
256,Sweden,2011-04,404.55,404.55,2
257,Sweden,2011-05,893.9933333333333,115.60000000000001,3
258,Sweden,2011-06,277.3333333333333,319.95,3
259,Sweden,2011-07,2267.3633333333332,2825.1,3
260,Sweden,2011-08,280.172,185.9,5
261,Sweden,2011-09,1525.07,309.45,3
262,Sweden,2011-10,1922.0533333333333,454.2,3
263,Sweden,2011-11,544.446,406.72,5
264,Sweden,2011-12,238.0,238.0,1
265,Switzerland,2010-12,652.46,652.46,2
266,Switzerland,2011-01,1410.4099999999999,685.12,3
267,Switzerland,2011-02,530.984,441.92,5
268,Switzerland,2011-03,623.41,490.78000000000003,3
269,Switzerland,2011-04,519.235,444.125,4
270,Switzerland,2011-05,1203.3366666666668,906.4,3
271,Switzerland,2011-06,1976.0375000000001,639.855,4
272,Switzerland,2011-07,666.4350000000001,610.31,6
273,Switzerland,2011-08,1656.6299999999999,668.58,3
274,Switzerland,2011-09,1183.5514285714287,505.48,7
275,Switzerland,2011-10,1008.1474999999999,796.005,8
276,Switzerland,2011-11,1353.16,321.575,6
277,USA,2011-04,383.95,383.95,1
278,USA,2011-10,1155.6,1155.6,2
279,USA,2011-12,442.62,442.62,2
280,United Arab Emirates,2011-02,889.24,889.24,1
281,United Arab Emirates,2011-09,506.52,506.52,2
282,United Kingdom,2010-12,517.1174706288873,252.2,1447
283,United Kingdom,2011-01,578.0535324407826,302.58,971
284,United Kingdom,2011-02,432.1888944723618,303.22,995
285,United Kingdom,2011-03,448.1882874617737,283.98,1308
286,United Kingdom,2011-04,413.2851352992194,297.28000000000003,1153
287,United Kingdom,2011-05,419.77305318450425,302.47,1523
288,United Kingdom,2011-06,447.9469775849603,271.6,1383
289,United Kingdom,2011-07,450.2579214659686,299.18,1337
290,United Kingdom,2011-08,502.5185785123967,303.39,1210
291,United Kingdom,2011-09,545.335241337386,317.90000000000003,1645
292,United Kingdom,2011-10,518.484268360022,306.90999999999997,1811
293,United Kingdom,2011-11,532.2675542168674,292.46500000000003,2490
294,United Kingdom,2011-12,794.3995844504021,296.54,746
295,Unspecified,2011-04,299.1,299.1,1
296,Unspecified,2011-05,527.935,527.935,2
297,Unspecified,2011-06,185.78,185.78,1
298,Unspecified,2011-07,356.3525,299.70000000000005,4
299,Unspecified,2011-08,265.515,265.515,2
300,Unspecified,2011-09,286.85,286.85,1
301,Unspecified,2011-11,482.875,482.875,2
